WavFileName,canonical_word,decoded_word,label,start_time,end_time,span_dur,speech_dur,ctm_entry,canonical_phone_seq
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,long,अंग,s,0.96,1.17,0.21,0.21,अंग,L AO NG
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,long,long,c,1.17,1.56,0.39,0.39,long,L AO NG
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,ago,ago,c,1.56,2.01,0.45,0.45,ago,AH G OW
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,c,2.01,2.28,0.27,0.27,the,DH AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,peacock,peacock,c,2.28,2.79,0.51,0.51,peacock,P IY K AO K
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,had,had,c,2.79,3.09,0.3,0.3,had,HH AE D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,a,a,c,3.09,3.21,0.12,0.12,a,AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,lovely,lovely,c,3.21,3.69,0.48,0.48,lovely,L AH V L IY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,voice,voice,c,3.69,4.14,0.45,0.45,voice,V OY S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,and,and,c,4.14,4.38,0.24,0.24,and,AE N D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,beautiful,beautiful,c,4.38,4.95,0.57,0.57,beautiful,B Y UW T IH F UH L
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,feathers,फिदर्स,s,4.95,5.58,0.63,0.63,फिदर्स,F EH DH AH R Z
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,every,every,c,5.94,6.39,0.45,0.45,every,EH V R IY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,day,day,c,6.39,6.72,0.33,0.33,day,D EY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,he,he,c,6.72,6.9,0.18,0.18,he,HH IY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,walked,walked,c,6.9,7.47,0.57,0.57,walked,W AO K D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,in,in,c,7.71,8.07,0.36,0.36,in,IH N
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,front,front,c,8.22,8.7,0.48,0.48,front,F R AH N T
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,of,of,c,8.73,9.06,0.33,0.33,of,AO F
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,all,all,c,9.21,9.57,0.36,0.36,all,AO L
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,c,9.57,10.02,0.45,0.45,the,DH AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,other,other,c,10.02,10.47,0.45,0.45,other,AH DH AH R
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,animals,animals,c,10.47,11.28,0.81,0.81,animals,AE N IH M AH L S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,he,he,c,11.58,11.88,0.3,0.3,he,HH IY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,liked,लाइद,s,11.88,12.63,0.75,0.75,लाइद,L AY K D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,to,to,c,12.66,12.93,0.27,0.27,to,T UW
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,show,so,s,12.93,13.44,0.51,0.51,so,SH OW
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,off,off,c,13.5,13.89,0.39,0.39,off,AO F
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,his,his,c,14.19,14.73,0.54,0.54,his,HH IH Z
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,beautiful,beautiful,c,14.73,15.39,0.66,0.66,beautiful,B Y UW T IH F UH L
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,feathers,feathers,c,15.39,16.02,0.63,0.63,feathers,F EH DH AH R Z
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,c,16.26,16.89,0.63,0.63,the,DH AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,animals,animals,c,16.89,17.49,0.6,0.6,animals,AE N IH M AH L S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,always,always,c,17.49,17.97,0.48,0.48,always,AO L W EH Z
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,smiled,smiled,c,18.0,18.57,0.57,0.57,smiled,S M AY L D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,at,at,c,18.57,18.93,0.36,0.36,at,AE T
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,him,him,c,18.93,19.35,0.42,0.42,him,HH IH M
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,but,but,c,19.35,19.74,0.39,0.39,but,B AH T
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,one,one,c,20.04,20.46,0.42,0.42,one,W AH N
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,day,day,c,20.46,20.85,0.39,0.39,day,D EY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,c,21.6,22.14,0.54,0.54,the,DH AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,animals,animals,c,22.14,22.83,0.69,0.69,animals,AE N IH M AH L S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,were,were,c,23.1,23.4,0.3,0.3,were,W AH R
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,angry,angry,c,23.4,24.06,0.66,0.66,angry,AE NG R IY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,with,with,c,24.06,24.57,0.51,0.51,with,W IH DH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,him,him,c,24.57,25.05,0.48,0.48,him,HH IH M
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,because,because,c,25.23,25.89,0.66,0.66,because,B IH K AO Z
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,he,he,c,25.89,26.25,0.36,0.36,he,HH IY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,was,was,c,26.25,26.76,0.51,0.51,was,W AO Z
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,proud,proud,c,26.94,27.42,0.48,0.48,proud,P R AW D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,and,and,c,27.42,27.81,0.39,0.39,and,AE N D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,they,they,c,27.81,28.05,0.24,0.24,they,DH EY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,ran,rain,s,28.05,28.59,0.54,0.54,rain,R AE N
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,away,away,c,28.77,29.34,0.57,0.57,away,AH W EY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,c,29.52,29.79,0.27,0.27,the,DH AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,peacock,peacock,c,29.79,30.33,0.54,0.54,peacock,P IY K AO K
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,shouted,साउटेड,s,30.33,30.93,0.6,0.6,साउटेड,SH AW T EH D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,and,and,c,30.93,31.17,0.24,0.24,and,AE N D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,shouted,साउटेड,s,31.17,31.68,0.51,0.51,साउटेड,SH AW T EH D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,[INS:all they],all they,i,31.68,32.55,0.87,0.87,all+they,
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,all,all,c,32.79,33.12,0.33,0.33,all,AO L
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,day,day,c,33.12,33.54,0.42,0.42,day,D EY
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,long,long,c,33.87,34.32,0.45,0.45,long,L AO NG
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,hoping,hoping,c,34.32,35.01,0.69,0.69,hoping,HH OW P IH NG
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,for,for,c,35.25,35.61,0.36,0.36,for,F AO R
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,them,them,c,35.61,36.0,0.39,0.39,them,DH EH M
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,to,to,c,36.0,36.33,0.33,0.33,to,T UW
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,come,come,c,36.33,36.72,0.39,0.39,come,K AH M
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,back,back,c,36.72,37.08,0.36,0.36,back,B AE K
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,but,but,c,37.08,37.44,0.36,0.36,but,B AH T
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,the,the,c,37.44,37.92,0.48,0.48,the,DH AH
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,animals,animals,c,38.34,38.91,0.57,0.57,animals,AE N IH M AH L S
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,did,did,c,38.91,39.21,0.3,0.3,did,D IH D
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,not,not,c,39.21,39.6,0.39,0.39,not,N AO T
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,come,come,c,39.6,39.87,0.27,0.27,come,K AH M
aa_3-a-1_kv_kv-no1-gorakhpur_06082025-000000-1_EN-OL-RC-235_1,back,back,c,39.87,40.2,0.33,0.33,back,B AE K
aw_3-a-1_kv_kv-ssb-campus-gadania-palia-kalan-lakhimpur-kheri_06082025-000000-1_EN-OL-RC-248_2,many,many,c,0.99,1.44,0.45,0.45,many,M EH N IY
